Frame,Sub Frame,Fx,Fy,Fz,Cx,Cy
20,2,-2.18105,3.10792,583.229,0.8298450174751679,0.38088908097640045
20,3,-2.50431,3.00172,582.876,0.8298182809321684,0.3808714351590935
20,4,-3.05201,2.66227,582.523,0.8300420494081775,0.3810870893536841
20,5,-3.03231,3.17159,582.169,0.8301779209250678,0.3810966225219876
20,6,-2.78778,3.63821,583.739,0.8291888209260659,0.38109577395002714
20,7,-2.7291,3.57456,582.562,0.8291379842075716,0.38101836732916866
20,8,-2.52372,4.12602,581.816,0.8291431763528229,0.38100568430004744
20,9,-2.73881,3.40507,583.386,0.8290352794094054,0.38079941119467214
21,0,-2.4749,3.5956,583.033,0.8289159188785821,0.38082238110067085
21,1,-2.17164,3.05513,583.896,0.8294320969018791,0.3808807036406116
21,2,-2.59188,2.19603,584.21,0.8299866047598626,0.380520207310069
21,3,-2.25013,2.74669,583.387,0.8306076834208848,0.380652112567443
21,4,-2.72861,2.81097,583.7,0.8303779383797795,0.3813618236537927
21,5,-2.97358,2.39751,583.582,0.8302134447568852,0.38119463022052713
21,6,-2.30918,3.10702,584.601,0.8294602389098178,0.3809377251759222
21,7,-2.24964,3.1187,582.996,0.8291222555325801,0.38106649526682457
21,8,-2.69922,3.42557,581.347,0.8289101307963846,0.38107315228522853
21,9,-2.61202,3.53212,582.403,0.8288939815589887,0.38088427683888487
22,0,-2.34793,4.42173,583.894,0.8289234452077789,0.3806551656992605
22,1,-2.35728,3.71404,583.936,0.8293243609261576,0.38046513909492063
22,2,-2.51366,2.69548,584.131,0.829989850841361,0.3807687846882733
22,3,-2.68972,2.2597,583.113,0.8306396444611066,0.38085356825589073
22,4,-2.52409,2.26975,581.426,0.8304748712190604,0.38063867515896677
22,5,-2.32834,1.69835,581.305,0.8303106332013906,0.380520771208007
22,6,-2.49389,2.49053,584.126,0.8291696929320233,0.38064062314431113
22,7,-2.82629,3.21289,582.998,0.8291523723020479,0.3811914143714356
22,8,-2.63194,3.71155,584.637,0.82827478692121,0.381024911121498
22,9,-2.00663,4.18882,585.27,0.8283793711195608,0.38125186655314774
23,0,-1.43899,3.8515,583.9,0.8285639460089891,0.38095034981548204
23,1,-2.48138,3.20473,583.504,0.828896788259999,0.3809633082429559
